Planet Name,X,Y,Z,Orbital Period,Planet Radius,Planet Mass,Semi-Major Axis,Eccentricity,Insolation Flux,Equilibrium Temperature,Star Temperature,Star Radius
11 Com b,-88.36495785761475,-8.00884336609817,28.475644468901386,,,5434.7,0,0,,,,
11 UMi b,-25.505211604415894,-29.625963254448497,119.06779381201297,516.21997,,4684.8142,0,0,,,4213.0,29.79
14 And b,57.97369156207769,-7.298956031050023,47.71634126965185,186.76,,1131.1513,0,0,,,4888.0,11.55
14 Her b,-5.954230683777855,-11.487906661216746,12.415414644607335,1773.4,,1474.67,0,0,,,,
16 Cyg B b,5.779530077610701,-12.135759682119696,16.31585992553967,799.45,,556.83537,0,0,,,5711.97,1.16
17 Sco b,-54.640409763216894,-109.41034644500002,-25.633063037663355,578.38,,1373.01872,0,0,,,4157.0,25.92
18 Del b,52.57196068038417,-53.296592146202606,14.333718980832383,993.3,,3273.5,0,0,,,4979.0,8.5
1RXS J160929.1-210524 b,-60.19337357234732,-115.02307500970464,-50.04995722567302,,,4000.0,0,0,,1700.0,4060.0,
24 Boo b,-49.332600262608494,-37.385159749107956,73.36221213644909,30.3506,,289.2253,0,0,,,4893.0,10.64
24 Sex b,-65.76278455147586,29.460533749249294,-1.1350304205226514,452.8,,632.46,0,0,,,5098.0,4.9
2M0437 b,40.44365463267619,107.26056143007777,58.03120727382231,,,1271.31363,0,0,,1450.0,3100.0,0.84
2MASS J01033563-5515561 AB b,,,,,,4131.79,0,0,,,,
2MASS J01225093-2439505 b,28.75483294795686,10.87288836481269,-14.116664986866242,,11.209,,0,0,,1600.0,3309.0,0.37
2MASS J02192210-3925225 b,,,,,16.141,4417.837,0,0,,,3064.0,0.28
2MASS J0249-0557 c,48.45372203907569,44.37657819190281,-6.859408591702856,,,3686.80952,0,0,,,,
2MASS J03590986+2009361 b,55.4678283289817,95.269238483515,40.47309531327895,,,5720.91133,0,0,,2369.0,,
2MASS J04414489+2301513 b,,,,,,2383.6,0,0,,,,
2MASS J11011926-7732383 b,,,,,,8899.1954,0,0,,2677.0,,
2MASS J11550485-7919108 b,-18.688219161797107,0.4015249176595635,-99.1147430320088,,,6356.56814,0,0,,2506.0,,
2MASS J12073346-3932539 b,-49.56008347843912,-1.6346304859121388,-40.946855468822925,,,1589.15,0,0,,1250.0,,
