Planet Name,X,Y,Z,Orbital Period,Planet Radius,Planet Mass,Semi-Major Axis,Eccentricity,Insolation Flux,Equilibrium Temperature,Star Temperature,Star Radius
11 Com b,-10.17634410867505,-0.9223197518774252,3.279331126924298,,,5434.7,0,0,,,,
11 UMi b,-1.6239820612648839,-1.8863608590719165,7.581350989129477,516.21997,,4684.8142,0,0,,,4213.0,29.79
14 And b,10.18677718858693,-1.282527242861239,8.384419271421299,186.76,,1131.1513,0,0,,,4888.0,11.55
14 Her b,-18.51627681532655,-35.724726008223826,38.609060774707686,1773.4,,1474.67,0,0,,,,
16 Cyg B b,12.932869299862746,-27.156220612365466,36.51004166399395,799.45,,556.83537,0,0,,,5711.97,1.16
17 Sco b,-3.499617442400651,-7.007530844978745,-1.6417503986061022,578.38,,1373.01872,0,0,,,4157.0,25.92
18 Del b,9.048852189830196,-9.17357805018293,2.467165057370806,993.3,,3273.5,0,0,,,4979.0,8.5
1RXS J160929.1-210524 b,-3.109395026565703,-5.941720095578327,-2.585418939682551,,,4000.0,0,0,,1700.0,4060.0,
24 Boo b,-5.354457858461502,-4.0577075066560715,7.962581968051307,30.3506,,289.2253,0,0,,,4893.0,10.64
24 Sex b,-12.661407797744715,5.672080862793927,-0.218529113617961,452.8,,632.46,0,0,,,5098.0,4.9
24 Sex c,-12.661407797744715,5.672080862793927,-0.218529113617961,883.0,,273.32,0,0,,,5098.0,4.9
2M0437 b,2.449922214455446,6.497435371980431,3.515309017522339,,,1271.31363,0,0,,1450.0,3100.0,0.84
2MASS J01033563-5515561 AB b,inf,inf,-inf,,,4131.79,0,0,,,,
2MASS J01225093-2439505 b,25.127867734242468,9.50144628607936,-12.33607203632845,,11.209,,0,0,,1600.0,3309.0,0.37
2MASS J02192210-3925225 b,inf,inf,-inf,,16.141,4417.837,0,0,,,3064.0,0.28
2MASS J0249-0557 c,11.102810105580089,10.1685629104567,-1.5717824725382885,,,3686.80952,0,0,,,,
2MASS J03590986+2009361 b,4.022036972431281,6.908083677684968,2.9347513800840304,,,5720.91133,0,0,,2369.0,,
2MASS J04414489+2301513 b,inf,inf,inf,,,2383.6,0,0,,,,
2MASS J11011926-7732383 b,-inf,inf,-inf,,,8899.1954,0,0,,2677.0,,
2MASS J11550485-7919108 b,-1.8370152745290653,0.039469111554110925,-9.742784762125755,,,6356.56814,0,0,,2506.0,,
2MASS J12073346-3932539 b,-11.984006144879022,-0.39526611766705233,-9.90126192514036,,,1589.15,0,0,,1250.0,,
2MASS J19383260+4603591 b,0.7297444597421167,-1.5912639003440037,1.8170232223661262,406.0,,591.16084,0,0,,,29564.0,0.2
2MASS J21252752-8138278 b,3.3285154212492234,-2.660325925135369,-29.000916190298106,,,3813.94088,0,0,,1616.0,,
2MASS J22362452+4751425 b,9.009004737502224,-3.4397372040024488,10.658155625651629,,,3972.875,0,0,,,4045.0,
30 Ari B b,15.762880655467843,12.874810816607765,9.33879412726943,335.1,,3140.03,0,0,,,6300.0,1.13
4 UMa b,-3.7948777163413605,4.514102881920105,12.269065340091679,270.27,,2511.48007,0,0,,,4415.0,18.11
42 Dra b,0.5163865009046859,-4.534021320538988,10.042737388325538,479.1,,1233.13,0,0,,,4200.0,22.03
47 UMa b,-53.258327663474624,14.405345952950128,47.00581325585547,1076.6,,778.6835,0,0,,,5882.0,
47 UMa c,-53.258327663474624,14.405345952950128,47.00581325585547,2391.0,,171.621,0,0,,,5872.0,1.21
47 UMa d,-53.258327663474624,14.405345952950128,47.00581325585547,14002.0,,521.22,0,0,,,5872.0,1.21
51 Eri b,11.812202980497597,31.42709316209535,-1.4504904306354274,14965.0,,,0,0,,,7295.0,1.49
51 Peg b,58.237342802206925,-16.295729458458485,22.93470736566928,4.23077,,148.738,0,0,,,,
55 Cnc b,-47.82993354860837,51.028505656267065,37.70579833225268,14.65162,,261.881,0,0,,,5250.0,0.96
55 Cnc c,-47.82993354860837,51.028505656267065,37.70579833225268,44.3989,,51.2,0,0,,,5172.0,0.94
55 Cnc d,-47.82993354860837,51.028505656267065,37.70579833225268,4867.0,,1226.77,0,0,,,5250.0,0.96
55 Cnc e,-47.82993354860837,51.028505656267065,37.70579833225268,0.7365474,1.875,7.99,0,0,,,5172.0,0.94
55 Cnc f,-47.82993354860837,51.028505656267065,37.70579833225268,259.88,,47.8,0,0,,,5172.0,0.94
6 Lyn b,-1.292459935168895,9.564229459027713,15.542205944662191,899.0,,762.8,0,0,,,4978.0,5.2
61 Vir b,-105.17675173561086,-37.4444242003848,-36.95660483232908,4.21487,,5.11704,0,0,,,5585.57,1.03
61 Vir c,-105.17675173561086,-37.4444242003848,-36.95660483232908,38.0957,,16.1139,0,0,,,5585.57,1.03
61 Vir d,-105.17675173561086,-37.4444242003848,-36.95660483232908,123.01,,22.9,0,0,,,5577.0,0.96
7 CMa b,-7.595578778867144,47.04594866610697,-16.64769421862575,,,616.5,0,0,,,,5.2
7 CMa c,-7.595578778867144,47.04594866610697,-16.64769421862575,996.0,,276.5121,0,0,,,4826.0,4.87
70 Vir b,-50.26694612657019,-20.41792295126635,13.302639409868842,116.6884,,2380.45,0,0,,,5545.0,
75 Cet b,9.491911061210816,7.42634663904225,-0.217735796817205,696.62,,787.89662,0,0,,,4809.0,10.38
75 Cet c,9.491911061210816,7.42634663904225,-0.217735796817205,2051.62,,289.85951,0,0,,,4809.0,10.38
8 UMi b,-1.1488125307741488,-1.117237107486721,5.939495638710019,93.4,,416.3573,0,0,,,4847.0,10.3
81 Cet b,7.6151187973684,6.260552145567319,-0.5850579448064496,952.7,,1684.4,0,0,,,4785.0,11.0
91 Aqr b,22.012548337424022,-4.2889726391787795,-3.5872475485616,181.4,,1017.0,0,0,,,4665.0,11.0
AB Aur b,1.4693667074308157,5.1044617382780215,3.135236253351481,,,2860.45566,0,0,,,9770.0,
AB Pic b,-0.8853895754301504,10.535177314051149,-16.954857884719907,,,4290.5,0,0,,,,
AF Lep b,5.215572514539099,36.059462521425274,-7.6787751023243995,7520.0,,1664.46737,0,0,,1400.0,6100.0,1.25
AU Mic b,57.97006790573032,-66.00653344723781,-53.5020243747905,8.4630004,4.19,,0,0,,,,0.75
AU Mic c,57.97006790573032,-66.00653344723781,-53.5020243747905,18.85882,,14.2,0,0,,,3665.0,0.82
AU Mic d,57.97006790573032,-66.00653344723781,-53.5020243747905,12.73596,,1.053,0,0,,,3678.0,0.74
BD+03 2562 b,-0.9321033555918133,0.03964156245865856,0.04497756813545765,481.9,,2034.112,0,0,,,4095.0,32.35
BD+14 4559 b,14.657305451573457,-13.012907175531922,5.138164830476491,268.94,,467.19,0,0,,,5008.0,0.95
BD+15 2375 b,-1.2574965274422556,0.0773077955843545,0.32855491240990964,153.22,,337.21763,0,0,,,4649.0,8.95
BD+15 2940 b,-1.1263839924184178,-1.9584969067088716,0.6285459518981565,137.48,,352.78,0,0,,,4796.0,14.7
BD+20 2457 b,-0.549786216187397,0.2659335335372284,0.2209741806595435,379.63,,6807.63,0,0,,,4137.0,49.0
BD+20 2457 c,-0.549786216187397,0.2659335335372284,0.2209741806595435,621.99,,3963.17,0,0,,,4137.0,49.0
BD+20 274 b,0.6348800604305822,0.30855946240935783,0.27104052494874786,578.2,,1334.886,0,0,,,4296.0,17.3
BD+20 594 b,3.0915156633491145,4.201072605064875,1.9604574027085193,41.688644,2.355,,0,0,,,5703.0,0.96
BD+45 564 b,10.886144336423376,7.055249716656913,13.397866420387963,307.88,,432.24663,0,0,,,5004.0,
BD+48 738 b,0.5638801863513274,0.48518964228867556,0.8736622665318612,392.6,,289.2253,0,0,,,4414.0,11.0
BD+48 740 b,0.7467280845297743,0.6432527502385572,1.1309939914570484,733.0,,540.311,0,0,,,4534.0,10.33
BD+49 828 b,1.0223657555042531,1.04548718748027,1.7260945746206957,2590.0,,508.5,0,0,,,4943.0,7.6
BD+55 362 b,9.543946850336544,4.241989266121137,15.898709392059285,265.59,,228.83645,0,0,,,5012.0,
BD+60 1417 b,-10.917458038318237,-2.0999099538433597,19.267360911547897,,14.684,4767.4261,0,0,,1303.0,4993.0,0.8
BD+63 1405 b,0.2844004127708804,-11.654136254707426,23.556319778710968,1230.0,,3305.41543,0,0,,,5000.0,
BD-06 1339 b,1.497369558744854,49.042420541054256,-5.153797368103555,3.8728,,8.5,0,0,,,4324.0,
BD-06 1339 c,1.497369558744854,49.042420541054256,-5.153797368103555,125.94,,53.0,0,0,,,4324.0,
BD-08 2823 b,-20.704383650605187,11.858857755606207,-3.9999035873139834,5.6,,14.4,0,0,,,4746.0,
BD-08 2823 c,-20.704383650605187,11.858857755606207,-3.9999035873139834,237.6,,104.0,0,0,,,4746.0,
BD-10 3166 b,-11.221816921045889,3.0869739052143026,-2.2139684323224955,3.48777,,145.56,0,0,,,5393.0,
BD-11 4672 b,5.247409895445262,-35.669499978292066,-7.4250007736557935,1667.0,,168.44,0,0,,,4475.0,0.52
BD-11 4672 c,5.247409895445262,-35.669499978292066,-7.4250007736557935,74.2,,15.37,0,0,,,4550.0,0.64
BD-13 2130 b,-0.4315479518227064,0.9562858525398504,-0.2597680648986075,714.29999,,3108.3774,0,0,,,4545.0,19.17
BD-14 3065 b,-1.464238244796418,0.724636339818363,-0.4574640861594451,4.2889696,20.711,,0,0,646.76,1404.0,6736.9,2.61
BD-17 63 b,27.646655848341698,3.463836517089514,-8.109304208871123,655.57,,1639.99458,0,0,,,,
BD-210397 b,32.8344981414667,21.570219058667817,-15.234994119305673,1891.0,,214.0,0,0,0.02,,4051.0,0.75
BD-210397 c,32.8344981414667,21.570219058667817,-15.234994119305673,6240.0,,1525.57635,0,0,,,,
CD Cet b,76.9398227530451,86.51640580228181,9.671761839403246,2.2907,,3.95,0,0,8.6,464.0,3130.0,0.17
CFBDSIR J145829+101343 b,-inf,-inf,inf,10037.5,,3337.1,0,0,,370.0,580.5,
CFHTWIR-Oph 98 b,-inf,-inf,-inf,8040000.0,20.849,2479.06157,0,0,,1800.0,2320.0,0.24
CHXR 73 b,-1.0950923308358083,0.2604960188082207,-5.130790678910541,,,3994.486,0,0,,,,
CI Tau c,2.1409004393057463,5.425761709100911,2.456898936965202,25.2,,1144.18227,0,0,,,,
COCONUTS-2 b,-9.690482369278621,18.77423079829459,-89.39499710443272,402000000.0,12.442,2002.31896,0,0,,434.0,3406.0,0.39
CT Cha b,-1.1917100432539562,0.2962982772241513,-5.097461108049773,,24.66,5403.0,0,0,,2600.0,,
CoRoT-1 b,-0.2652186659661703,1.2392598133835673,-0.0686831828053463,1.5089557,16.7,327.35,0,0,,1898.0,5950.0,1.11
CoRoT-10 b,1.062026471767221,-2.757509004536879,0.038476881169475875,13.2406,10.873,867.6759,0,0,,,5075.0,0.79
CoRoT-11 b,0.28159306907265924,-1.4921020163364478,0.15792436066593638,2.994325,15.581,791.3967,0,0,,1715.0,,1.33
CoRoT-12 b,-0.16579383286570043,0.8719584268812722,-0.020086898941688098,2.828042,16.14,291.438,0,0,,1442.0,5675.0,1.12
CoRoT-13 b,-0.19090720848004186,0.8456668945875553,-0.07716643974649755,4.03515,,,0,0,,,5945.0,1.01
CoRoT-14 b,-0.1324521026077697,0.5549358318768844,-0.0552973909516966,1.51214,12.22,2415.4,0,0,,1952.0,6035.0,1.21
CoRoT-16 b,0.2012842775413882,-1.3428697079089442,-0.1427803839955824,5.35227,13.115,168.13207,0,0,,,5650.0,1.19
CoRoT-17 b,0.12774338847967562,-0.8348812370343356,-0.09790683993943763,3.7681,11.287,781.8618,0,0,,1610.0,5740.0,1.62
CoRoT-18 b,-0.18584710556040343,1.2941023190495529,-0.0007211537301154598,1.9000693,14.684,1099.6918,0,0,,,5440.0,1.0
CoRoT-19 b,-0.15487104974153487,1.2552378327275713,-0.003768715628488826,3.89713,13.339,346.4347,0,0,,1630.0,6090.0,1.58
CoRoT-2 b,1.7389461493591125,-4.352732084873098,0.1132164064564666,1.7429964,16.421,1051.973,0,0,,,,
CoRoT-20 b,-0.1591572066270223,1.1739999872978508,0.0046916292720084645,9.24318,11.209,1315.8162,0,0,,1024.0,,1.16
CoRoT-20 c,-0.1591572066270223,1.1739999872978508,0.0046916292720084645,1675.0,,5403.11,0,0,,,,
CoRoT-21 b,-inf,inf,-inf,2.72474,14.572,705.5826,0,0,,,6200.0,1.95
CoRoT-22 b,0.29340876735456795,-1.5577184724366824,0.17273465142354438,9.75598,4.88,12.2,0,0,,885.0,5939.0,1.14
CoRoT-23 b,0.15968409921899265,-0.9261434891568212,0.0716173000894069,3.6313,13.227,972.5598,0,0,,1710.0,5900.0,1.74
CoRoT-24 b,-0.3484951572822265,1.6505093344127237,-0.10965719656090307,5.1134,3.7,5.7,0,0,,1070.0,4950.0,0.86
CoRoT-24 c,-0.3484951572822265,1.6505093344127237,-0.10965719656090307,11.759,5.0,28.0,0,0,,850.0,4950.0,0.86
CoRoT-25 b,0.16608303818394962,-0.8849234223052437,0.10280467644291501,4.86069,12.11,85.81,0,0,,1330.0,6040.0,1.19
CoRoT-26 b,0.16083983730944176,-0.9359838664645534,0.11610044961887395,4.20474,14.12,165.26,0,0,,1600.0,5590.0,1.79
CoRoT-27 b,0.14555152067716123,-0.9743928514375579,0.09553047031754923,3.57532,11.287,3302.11,0,0,,1500.0,5900.0,1.08
CoRoT-28 b,0.1962261533173745,-1.2840940795760574,0.1267659345457752,5.20851,10.705,152.87623,0,0,,,5150.0,1.78
CoRoT-29 b,0.1906462937395493,-1.217154198525394,0.13992306713225988,2.85057,10.088,270.1555,0,0,,,5260.0,0.9
CoRoT-3 b,0.48844217240335436,-1.205586426611178,0.0027660200496624297,4.2567994,11.135,6747.5309,0,0,,,,1.54
